apellido,nombre,nombre_completo,seleccion,fecha_nacimiento,posicion,url_ficha
Varadi,Bela,"Varadi, Bela",Hungría,12 de abril de 1953,Delantero,https://www.losmundialesdefutbol.com/jugadores/bela_varadi.php
Varallo,Francisco,"Varallo, Francisco",Argentina,5 de febrero de 1910,Delantero,https://www.losmundialesdefutbol.com/jugadores/francisco_varallo.php
Varane,Raphael,Raphaël Xavier Varane,Francia,25 de abril de 1993,Defensor,https://www.losmundialesdefutbol.com/jugadores/raphael_varane.php
Vardy,Jamie,Jamie Richard Vardy,Inglaterra,11 de enero de 1997,Delantero,https://www.losmundialesdefutbol.com/jugadores/jamie_vardy.php
Varela,Guillermo,Guillermo Varela Olivera,Uruguay,24 de marzo de 1993,Defensor,https://www.losmundialesdefutbol.com/jugadores/guillermo_varela.php
Varela,Gustavo,"Varela, Gustavo",Uruguay,14 de mayo de 1978,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/gustavo_varela.php
Varela,Obdulio,"Varela, Obdulio",Uruguay,20 de septiembre de 1917,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/obdulio_varela.php
Varela,Silvestre,"Varela, Silvestre",Portugal,2 de febrero de 1985,Delantero,https://www.losmundialesdefutbol.com/jugadores/silvestre_varela.php
Varga,Jozsef,"Varga, Jozsef",Hungría,9 de octubre de 1954,Defensor,https://www.losmundialesdefutbol.com/jugadores/jozsef_varga.php
Varga,Zoltan,"Varga, Zoltan",Hungría,1 de enero de 1945,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/zoltan_varga.php
Vargas,Camilo,Camilo Andrés Vargas Gil,Colombia,9 de marzo de 1989,Arquero,https://www.losmundialesdefutbol.com/jugadores/camilo_vargas.php
Vargas,Eduardo,"Vargas, Eduardo",Chile,20 de noviembre de 1989,Delantero,https://www.losmundialesdefutbol.com/jugadores/eduardo_vargas.php
Vargas,Javier,"Vargas, Javier",México,22 de noviembre de 1941,Arquero,https://www.losmundialesdefutbol.com/jugadores/javier_vargas.php
Vargas,Juan Pablo,Juan Pablo Vargas Campos,Costa Rica,6 de junio de 1995,Defensor,https://www.losmundialesdefutbol.com/jugadores/juan_pablo_vargas.php
Vargas,Marcelino,"Vargas, Marcelino",Paraguay,1 de enero de 1921,Arquero,https://www.losmundialesdefutbol.com/jugadores/marcelino_vargas.php
Vargas,Rubén,"Vargas, Rubén",Suiza,5 de agosto de 1998,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/ruben_vargas.php
Vargas Pena,Luis,"Vargas Pena, Luis",Paraguay,1 de enero de 1905,Delantero,https://www.losmundialesdefutbol.com/jugadores/luis_vargas_pena.php
Varglien,Mario,"Varglien, Mario",Italia,16 de diciembre de 1905,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/mario_varglien.php
Varhidi,Pal,"Varhidi, Pal",Hungría,6 de noviembre de 1931,Defensor,https://www.losmundialesdefutbol.com/jugadores/pal_varhidi.php
Vasas,Mihaly,"Vasas, Mihaly",Hungría,1 de enero de 1933,Delantero,https://www.losmundialesdefutbol.com/jugadores/mihaly_vasas.php
Vashchuk,Vladyslav,"Vashchuk, Vladyslav",Ucrania,2 de enero de 1975,Defensor,https://www.losmundialesdefutbol.com/jugadores/vladyslav_vashchuk.php
Vasilev,Mladen,"Vasilev, Mladen",Bulgaria,29 de julio de 1947,Delantero,https://www.losmundialesdefutbol.com/jugadores/mladen_vasilev.php
Vasilev,Tsonyo,"Vasilev, Tsonyo",Bulgaria,7 de enero de 1952,Defensor,https://www.losmundialesdefutbol.com/jugadores/tsonyo_vasilev.php
Vasilj,Vladimir,"Vasilj, Vladimir",Croacia,6 de julio de 1975,Arquero,https://www.losmundialesdefutbol.com/jugadores/vladimir_vasilj.php
Vasquez,Alfredo,"Vasquez, Alfredo",El Salvador,23 de abril de 1945,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/alfredo_vasquez.php
Vasquez,Arturo,"Vasquez, Arturo",México,26 de junio de 1949,Defensor,https://www.losmundialesdefutbol.com/jugadores/arturo_vasquez.php
Vásquez,Johan,"Vásquez, Johan",México,22 de octubre de 1998,Defensor,https://www.losmundialesdefutbol.com/jugadores/johan_vasquez.php
