anio_mundial,equipo_local,equipo_visitante,url_partido,jugador,seleccion_gol,minuto,minuto_num,tipo_gol,tiempo_extra
1970,URSS,El Salvador,1970_urss_el_salvador,Anatoly Bishovets,URSS,74,74,normal,false
1970,Suecia,Uruguay,1970_suecia_uruguay,Ove Grahn,Suecia,90,90,normal,false
1970,Alemania Occidental,Perú,1970_alemania_occidental_peru,Gerd Mueller,Alemania Occidental,19,19,normal,false
1970,Alemania Occidental,Perú,1970_alemania_occidental_peru,Gerd Mueller,Alemania Occidental,26,26,normal,false
1970,Alemania Occidental,Perú,1970_alemania_occidental_peru,Gerd Mueller,Alemania Occidental,39,39,normal,false
1970,Alemania Occidental,Perú,1970_alemania_occidental_peru,Teofilo Cubillas,Perú,44,44,normal,false
1970,Brasil,Rumania,1970_brasil_rumania,Pelé,Brasil,19,19,normal,false
1970,Brasil,Rumania,1970_brasil_rumania,Jairzinho,Brasil,22,22,normal,false
1970,Brasil,Rumania,1970_brasil_rumania,Florea Dumitrache,Rumania,34,34,normal,false
1970,Brasil,Rumania,1970_brasil_rumania,Pelé,Brasil,67,67,normal,false
1970,Brasil,Rumania,1970_brasil_rumania,Emerich Dembrovschi,Rumania,84,84,normal,false
1970,Bulgaria,Marruecos,1970_bulgaria_marruecos,Dobromir Zhechev,Bulgaria,40,40,normal,false
