apellido,nombre,nombre_completo,seleccion,fecha_nacimiento,posicion,url_ficha
Satmareanu,Ludovic,"Satmareanu, Ludovic",Rumania,21 de febrero de 1944,Defensor,https://www.losmundialesdefutbol.com/jugadores/ludovic_satmareanu.php
Satrustegui,Jesus,"Satrustegui, Jesus",España,12 de enero de 1954,Delantero,https://www.losmundialesdefutbol.com/jugadores/jesus_satrustegui.php
Saura,Enrique,"Saura, Enrique",España,2 de agosto de 1954,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/enrique_saura.php
Saveljic,Nisa,"Saveljic, Nisa",RF de Yugoslavia,27 de marzo de 1970,Defensor,https://www.losmundialesdefutbol.com/jugadores/nisa_saveljic.php
Savicevic,Dejan,"Savicevic, Dejan",Yugoslavia,15 de septiembre de 1966,"Delantero, Mediocampista",https://www.losmundialesdefutbol.com/jugadores/dejan_savicevic.php
Saviola,Javier,"Saviola, Javier",Argentina,11 de diciembre de 1981,Delantero,https://www.losmundialesdefutbol.com/jugadores/javier_saviola.php
Sawitzki,Gunter,"Sawitzki, Gunter",Alemania Occidental,22 de noviembre de 1932,Arquero,https://www.losmundialesdefutbol.com/jugadores/gunter_sawitzki.php
Scally,Joe,"Scally, Joe",Estados Unidos,31 de diciembre de 2002,Defensor,https://www.losmundialesdefutbol.com/jugadores/joe_scally.php
Scaloni,Lionel,"Scaloni, Lionel",Argentina,16 de mayo de 1978,Defensor,https://www.losmundialesdefutbol.com/jugadores/lionel_scaloni.php
Scarone,Hector,"Scarone, Hector",Uruguay,26 de noviembre de 1898,Delantero,https://www.losmundialesdefutbol.com/jugadores/hector_scarone.php
Schaars,Stijn,"Schaars, Stijn",Paises Bajos,11 de enero de 1984,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/stijn_schaars.php
Schachner,Walter,"Schachner, Walter",Austria,1 de febrero de 1957,Delantero,https://www.losmundialesdefutbol.com/jugadores/walter_schachner.php
Schaedler,Erich,"Schaedler, Erich",Escocia,6 de agosto de 1949,Defensor,https://www.losmundialesdefutbol.com/jugadores/erich_schaedler.php
Schaefer,Hans,"Schaefer, Hans",,,,https://www.losmundialesdefutbol.com/jugadores/hans_schaefer.php
